date,heating degrees,occupancy,steam-LBS
8/19/12,0,0.5,0
8/20/12,0,0.5,0
8/21/12,0,0.5,0
8/22/12,0,0.5,0
8/23/12,0,0.5,0
8/24/12,0,0.5,18.75
8/25/12,0,0.5,0
8/26/12,0,0.5,0
8/27/12,0,0.5,0
8/28/12,0,0.5,0
8/29/12,0,0.5,0
8/30/12,0,0.5,0
9/2/12,0,0.5,0
9/3/12,0,0.5,0
9/4/12,0,0.979166667,0
9/5/12,0,1,0
9/6/12,0,1,0
9/7/12,0,1,0
9/8/12,0,0.5,0
9/9/12,0,0.5,0
9/10/12,0.083333333,1,0
9/11/12,0.833333333,1,0
9/12/12,0.416666667,1,0
9/13/12,0,1,21.875
9/14/12,0,1,0
9/15/12,0,0.5,0
9/16/12,0.5,0.5,0
9/17/12,0.541666667,1,0
9/18/12,0,1,0
9/19/12,0.125,1,0
9/20/12,1.375,1,0
9/21/12,1.5,1,534.7395833
9/22/12,0.416666667,0.5,5553.059896
9/23/12,0.083333333,0.5,4252.565104
9/24/12,1.416666667,1,11841.04167
9/25/12,1.416666667,1,8441.432292
9/26/12,0,1,7620.182292
9/27/12,0.333333333,1,10396.28906
9/28/12,1.333333333,1,13564.71029
9/29/12,1.916666667,0.5,13632.33398
9/30/12,1.791666667,0.5,14262.99479
10/1/12,1.416666667,1,14121.06771
10/2/12,0.166666667,1,11680
10/3/12,0,1,9579.036458
10/4/12,0,1,12056.3151
10/5/12,0,1,5921.705729
10/6/12,0.166666667,0.5,8091.901042
10/7/12,3.208333333,0.5,14085.02604
10/8/12,4.166666667,0.6,18046.01725
10/9/12,2.208333333,0.983333333,17944.17643
10/10/12,1.25,1,15878.11361
10/11/12,3.916666667,1,15115.70313
10/12/12,6.291666667,1,18312.59277
10/13/12,8,0.5,16585.00977
10/14/12,2.770833333,0.5,9557.084961
10/15/12,0,1,4634.602865
10/16/12,2.708333333,1,15405.30273
10/17/12,5.791666667,1,15295.69336
10/18/12,3.416666667,1,13123.0013
10/19/12,0.666666667,1,7117.96224
10/20/12,0,0.5,5111.458333
10/21/12,1.5,0.5,10680.48177
10/22/12,1.208333333,1,10461.83594
10/23/12,1.75,1,12735.5599
10/24/12,4.391666667,1,14430.7194
10/25/12,3.916666667,1,12924.41081
10/26/12,2.625,1,10156.0026
10/27/12,2.708333333,0.5,9737.291667
10/28/12,2.916666667,0.5,11892.63021
10/29/12,1.416666667,1,15139.32617
10/30/12,1,1,8648.681641
11/2/12,5.666666667,1,15171.60807
11/3/12,6.916666667,0.5,14297.37467
11/4/12,8.083333333,0.5,15798.69792
11/5/12,11.33333333,1,24404.14225
11/6/12,12.94583333,1,29321.76432
11/7/12,11,1,34566.10514
11/8/12,12.5,1,34425.66243
11/9/12,8,1,25160.66243
11/10/12,7.083333333,0.5,19409.29525
11/11/12,4.291666667,0.5,14375.71615
11/12/12,2.25,1,12197.63021
11/13/12,4.833333333,1,21318.56771
11/14/12,10.64583333,1,26497.77507
11/15/12,12.29166667,1,30902.5472
11/16/12,11,1,28081.75944
11/17/12,10.19583333,0.5,23706.96615
11/18/12,10.87916667,0.5,24628.99251
11/19/12,10.92083333,1,28499.43685
11/20/12,10.41666667,1,26464.53939
11/21/12,8.791666667,1,24068.42611
11/22/12,8.333333333,0.2,24118.97135
11/23/12,8.875,0.2,22835.69661
11/24/12,9.208333333,0.2,24985.95052
11/25/12,13.31666667,0.2,30429.58333
11/26/12,11.2375,0.966666667,31199.3929
11/27/12,13.04166667,1,32396.44694
11/28/12,13.625,1,37108.69303
11/29/12,12.16666667,1,27745.13672
11/30/12,14.66666667,1,37131.45508
12/1/12,15.97083333,0.5,36330.64616
12/2/12,10.16666667,0.5,24862.22982
12/3/12,4.491666667,1,21548.40169
12/4/12,6.833333333,1,17245.07813
12/5/12,4.95,1,19095.91634
12/6/12,13.92083333,1,35090.0651
12/7/12,11.7125,1,29929.93164
