date	timestamp	cooling degrees	solar radiation	weekday	dehumidification	occupancy	chilledWater-TonDays
6/27/12	1340755200000	8.416666667	235.9166667	2	0	0.5	51.66181462
6/28/12	1340841600000	10.33333333	354.7083333	3	0.000716838	0.5	90.39502222
6/29/12	1340928000000	11.83333333	255	4	0.004061673	0.5	112.4354971
7/2/12	1341187200000	12.54166667	270.1666667	0	0.002002833	0.5	113.273594
7/3/12	1341273600000	11.79166667	364.3333333	1	0.00077408	0.5	106.184787
7/4/12	1341360000000	12.3875	306.5833333	2	0.005406769	0.5	126.2452269
7/5/12	1341446400000	12.25	345.125	3	0.003569772	0.5	121.8108981
7/6/12	1341532800000	11.95833333	259.1666667	4	0.00341254	0.5	128.3574779
7/7/12	1341619200000	14.20833333	215.875	5	0.004314183	0.5	100.9448625
7/8/12	1341705600000	14.16666667	276	6	0.002180406	0.5	100.0391345
7/9/12	1341792000000	12.125	368.125	0	0.000118819	0.5	106.5919087
7/10/12	1341878400000	10.77083333	358.75	1	0.000324966	0.5	98.90985077
7/11/12	1341964800000	11.41666667	261.2916667	2	0.001765042	0.5	111.7998721
7/12/12	1342051200000	12.70833333	351.375	3	0.001807077	0.5	135.8753798
7/13/12	1342137600000	13.70833333	337.9583333	4	0.002107674	0.5	142.8159321
7/14/12	1342224000000	15.47916667	274.5833333	5	0.002888255	0.5	37.10370591
7/15/12	1342310400000	15.625	291.8333333	6	0.004603882	0.5	89.26717773
7/16/12	1342396800000	13.41666667	306.7916667	0	0.00556315	0.5	131.7742604
7/17/12	1342483200000	17.6625	342.0416667	1	0.004775209	0.5	140.659314
7/18/12	1342569600000	14.33333333	153.2083333	2	0.006248699	0.5	153.9551368
7/19/12	1342656000000	9.625	269.25	3	0.002011463	0.5	102.4139737
7/20/12	1342742400000	7.833333333	275.2083333	4	0.001376026	0.5	77.60257686
7/21/12	1342828800000	8.083333333	357.4166667	5	0.000711978	0.5	44.04925485
7/22/12	1342915200000	10.79166667	336.5416667	6	0.001089797	0.5	52.00896826
7/23/12	1343001600000	11.58333333	247.75	0	0.004418139	0.5	101.2895743
7/24/12	1343088000000	12.04166667	289.7083333	1	0.005308293	0.5	109.5967096
7/25/12	1343174400000	10.75	348.9583333	2	0.00033575	0.5	71.10844691
7/26/12	1343260800000	11.625	151.5	3	0.004071813	0.5	84.47152952
7/27/12	1343347200000	8.583333333	139.8333333	4	0.00435487	0.5	84.90914652
7/28/12	1343433600000	7.583333333	286	5	0.003679398	0.5	65.40703491
7/29/12	1343520000000	7.625	95.04166667	6	0.003294256	0.5	43.56822279
7/30/12	1343606400000	9.375	335.25	0	0.00266089	0.5	94.63064076
7/31/12	1343692800000	7.675	196.1666667	1	0.003553688	0.5	68.22898744
8/1/12	1343779200000	10	283.5833333	2	0.004856416	0.5	87.33384316
8/2/12	1343865600000	12.45833333	324.9583333	3	0.00617492	0.5	110.7726369
8/3/12	1343952000000	15.95833333	279.1666667	4	0.005716805	0.5	115.3536826
8/4/12	1344038400000	13.58333333	309.5	5	0.006743195	0.5	114.5560729
8/5/12	1344124800000	14.25	318.2083333	6	0.007862663	0.5	129.4201984
8/6/12	1344211200000	13.79166667	321.7916667	0	0.002913117	0.5	124.7077766
8/7/12	1344297600000	10.45833333	308.875	1	0.002026383	0.5	96.55654038
8/8/12	1344384000000	11.83333333	264.9166667	2	0.003811468	0.5	107.9210407
8/9/12	1344470400000	12.5	320.7916667	3	0.00582916	0.5	125.4563008
8/10/12	1344556800000	11.58333333	209.7083333	4	0.007123149	0.5	119.378294
8/11/12	1344643200000	11.83333333	276.8333333	5	0.006694107	0.5	114.5116318
8/12/12	1344729600000	12.91666667	218.9166667	6	0.007196636	0.5	117.7136624
8/13/12	1344816000000	13.66666667	247	0	0.003245586	0.5	123.6421438
8/14/12	1344902400000	12.91666667	295.25	1	0.002853346	0.5	111.7293149
8/15/12	1344988800000	11.66666667	213.5	2	0.00507123	0.5	112.3885486
8/16/12	1345075200000	11.96666667	282.4583333	3	0.003350339	0.5	107.5244453
8/17/12	1345161600000	13.29166667	298.6666667	4	0.003090176	0.5	113.4064359
8/18/12	1345248000000	8.333333333	37.83333333	5	0.00276347	0.5	45.28519646
8/19/12	1345334400000	7.25	247.9583333	6	0.001263886	0.5	49.02928924
8/20/12	1345420800000	8.25	228.9166667	0	0.001847202	0.5	87.49433486
8/21/12	1345507200000	11.20833333	280.4166667	1	0.000935067	0.5	84.26160826
8/22/12	1345593600000	10.08333333	294.75	2	0.001158359	0.5	92.8154447
8/23/12	1345680000000	12.54166667	278.3333333	3	0.002491873	0.5	104.2707996
8/24/12	1345766400000	10.56666667	258.2916667	4	0.003529753	0.5	110.6539853
8/25/12	1345852800000	9.375	248.6666667	5	0.003558291	0.5	46.04678324
8/26/12	1345939200000	8.958333333	275.2083333	6	0.002469358	0.5	54.49546542
8/27/12	1346025600000	11	273.6666667	0	0.002997408	0.5	130.3736739
8/28/12	1346112000000	12.45833333	201.7083333	1	0.004894649	0.5	126.3301241
8/29/12	1346198400000	8.25	281.6666667	2	0	0.5	76.43351563
8/30/12	1346284800000	10.66666667	276.25	3	0	0.5	88.45942738
9/2/12	1346544000000	7.375	58.29166667	6	0.001512734	0.5	50.59044801
9/3/12	1346630400000	6.75	242.125	0	0.001582919	0.5	60.81854534
9/4/12	1346716800000	7.416666667	31.29166667	1	0.003887101	0.979166667	68.11915232
9/5/12	1346803200000	10.91666667	158.25	2	0.006030045	1	134.226347
9/6/12	1346889600000	9.375	169.5	3	0.003573973	1	102.5472742
9/7/12	1346976000000	10.91666667	166.1666667	4	0.005481735	1	126.0108882
9/8/12	1347062400000	11.875	244.625	5	0.005997179	0.5	91.38963385
9/9/12	1347148800000	6.625	154.5416667	6	0.000557463	0.5	52.92242548
